"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Upper I","5 Jan 2026, 19:46","5 Jan 2026, 21:14","","Bicep Curl (Machine)",,"",0,"normal",95,6,,,
"Upper I","5 Jan 2026, 19:46","5 Jan 2026, 21:14","","Bicep Curl (Machine)",,"",1,"failure",95,6,,,
"Upper I","5 Jan 2026, 19:46","5 Jan 2026, 21:14","","Triceps Extension (Cable)",,"",0,"normal",21.9,5,,,
"Upper I","5 Jan 2026, 19:46","5 Jan 2026, 21:14","","Triceps Extension (Cable)",,"",1,"failure",21.9,6,,,
"Upper III","3 Jan 2026, 12:20","3 Jan 2026, 13:42","","Iso-Lateral Low Row",,"",0,"normal",72.5,7,,,
"Upper III","3 Jan 2026, 12:20","3 Jan 2026, 13:42","","Iso-Lateral Low Row",,"",1,"failure",72.5,7,,,
"Upper III","3 Jan 2026, 12:20","3 Jan 2026, 13:42","","Unilateral Row (cable)",,"",0,"normal",56.25,7,,,
"Upper III","3 Jan 2026, 12:20","3 Jan 2026, 13:42","","Unilateral Row (cable)",,"",1,"failure",56.25,6,,,
"Upper III","3 Jan 2026, 12:20","3 Jan 2026, 13:42","","Unilateral Row (cable)",,"",2,"dropset",45,5,,,
"Upper III","3 Jan 2026, 12:20","3 Jan 2026, 13:42","","Incline Chest Press (Machine)",,"",0,"normal",72.5,7,,,
"Upper III","3 Jan 2026, 12:20","3 Jan 2026, 13:42","","Incline Chest Press (Machine)",,"",1,"failure",72.5,6,,,
"Upper III","3 Jan 2026, 12:20","3 Jan 2026, 13:42","","Chest Fly (Machine)",,"",0,"normal",131.25,7,,,
"Upper III","3 Jan 2026, 12:20","3 Jan 2026, 13:42","","Chest Fly (Machine)",,"",1,"failure",131.25,6,,,
"Upper III","3 Jan 2026, 12:20","3 Jan 2026, 13:42","","Back Extension (Weighted Hyperextension)",,"",0,"normal",40,7,,,
"Upper III","3 Jan 2026, 12:20","3 Jan 2026, 13:42","","Back Extension (Weighted Hyperextension)",,"",1,"normal",40,6,,,
"Upper III","3 Jan 2026, 12:20","3 Jan 2026, 13:42","","Bicep Curl (Cable)",,"",0,"normal",53,7,,,
"Upper III","3 Jan 2026, 12:20","3 Jan 2026, 13:42","","Bicep Curl (Cable)",,"",1,"failure",53,7,,,
"Upper III","3 Jan 2026, 12:20","3 Jan 2026, 13:42","","Triceps Extension (Cable)",,"",0,"failure",21.9,7,,,
"Upper III","3 Jan 2026, 12:20","3 Jan 2026, 13:42","","Lateral Raise (Cable)",,"",0,"normal",14.1,7,,,
"Upper III","3 Jan 2026, 12:20","3 Jan 2026, 13:42","","Lateral Raise (Cable)",,"",1,"failure",14.1,7,,,
"Upper III","3 Jan 2026, 12:20","3 Jan 2026, 13:42","","Treadmill",,"",0,"normal",,,,1200,
"Upper II","1 Jan 2026, 10:18","1 Jan 2026, 10:55","Musclefit","Seated Cable Row - Bar Wide Grip",,"",0,"normal",90,7,,,
"Upper II","1 Jan 2026, 10:18","1 Jan 2026, 10:55","Musclefit","Seated Cable Row - Bar Wide Grip",,"",1,"normal",90,7,,,
"Upper II","1 Jan 2026, 10:18","1 Jan 2026, 10:55","Musclefit","Seated Cable Row - Bar Wide Grip",,"",2,"failure",90,6,,,
"Upper II","1 Jan 2026, 10:18","1 Jan 2026, 10:55","Musclefit","Iso-Lateral Front Lat Pulldown",,"",0,"normal",40,5,,,
"Upper II","1 Jan 2026, 10:18","1 Jan 2026, 10:55","Musclefit","Iso-Lateral Front Lat Pulldown",,"",1,"normal",40,5,,,
"Upper II","1 Jan 2026, 10:18","1 Jan 2026, 10:55","Musclefit","Iso-Lateral Horizontal Bench Press",,"",0,"normal",80,5,,,
"Upper II","1 Jan 2026, 10:18","1 Jan 2026, 10:55","Musclefit","Iso-Lateral Horizontal Bench Press",,"",1,"failure",80,5,,,
"Upper II","1 Jan 2026, 10:18","1 Jan 2026, 10:55","Musclefit","Cable Fly Crossovers",,"",0,"normal",27.5,6,,,
"Upper II","1 Jan 2026, 10:18","1 Jan 2026, 10:55","Musclefit","Cable Fly Crossovers",,"",1,"failure",27.5,6,,,
"Upper II","1 Jan 2026, 10:18","1 Jan 2026, 10:55","Musclefit","Lateral Raise (Machine)",,"",0,"normal",81,5,,,
"Upper II","1 Jan 2026, 10:18","1 Jan 2026, 10:55","Musclefit","Lateral Raise (Machine)",,"",1,"failure",81,5,,,
"Upper II","1 Jan 2026, 10:18","1 Jan 2026, 10:55","Musclefit","Preacher Curl (Dumbbell)",,"",0,"normal",22.5,5,,,
"Upper II","1 Jan 2026, 10:18","1 Jan 2026, 10:55","Musclefit","Preacher Curl (Dumbbell)",,"",1,"failure",22.5,5,,,
"Lower","30 Dec 2025, 18:26","30 Dec 2025, 19:57","","Hip Adduction (Machine)",,"",0,"normal",90,5,,,
"Lower","30 Dec 2025, 18:26","30 Dec 2025, 19:57","","Hip Adduction (Machine)",,"",1,"normal",86.25,6,,,
"Lower","30 Dec 2025, 18:26","30 Dec 2025, 19:57","","Hip Adduction (Machine)",,"",2,"failure",86.25,6,,,
"Lower","30 Dec 2025, 18:26","30 Dec 2025, 19:57","","Straight Leg Deadlift",,"",0,"normal",100,7,,,
"Lower","30 Dec 2025, 18:26","30 Dec 2025, 19:57","","Straight Leg Deadlift",,"",1,"failure",100,6,,,
"Lower","30 Dec 2025, 18:26","30 Dec 2025, 19:57","","Leg Press (Machine)",,"",0,"normal",280,5,,,
"Lower","30 Dec 2025, 18:26","30 Dec 2025, 19:57","","Leg Press (Machine)",,"",1,"failure",260,6,,,
"Lower","30 Dec 2025, 18:26","30 Dec 2025, 19:57","","Seated Leg Curl (Machine)",,"",0,"normal",108,7,,,
"Lower","30 Dec 2025, 18:26","30 Dec 2025, 19:57","","Seated Leg Curl (Machine)",,"",1,"failure",108,5,,,
"Lower","30 Dec 2025, 18:26","30 Dec 2025, 19:57","","Leg Extension (Machine)",,"",0,"normal",101.25,9,,,
"Lower","30 Dec 2025, 18:26","30 Dec 2025, 19:57","","Leg Extension (Machine)",,"",1,"failure",101.25,8,,,
"Lower","30 Dec 2025, 18:26","30 Dec 2025, 19:57","","Hip Abduction (Machine)",,"",0,"normal",75,11,,,
"Lower","30 Dec 2025, 18:26","30 Dec 2025, 19:57","","Hip Abduction (Machine)",,"",1,"failure",78.5,10,,,
"Lower","30 Dec 2025, 18:26","30 Dec 2025, 19:57","","Treadmill",,"",0,"normal",,,,1200,
"Upper I","29 Dec 2025, 12:23","29 Dec 2025, 13:28","","Seated Row (Machine)",,"",0,"normal",101,7,,,
"Upper I","29 Dec 2025, 12:23","29 Dec 2025, 13:28","","Seated Row (Machine)",,"",1,"failure",98.5,6,,,
"Upper I","29 Dec 2025, 12:23","29 Dec 2025, 13:28","","Seated Row (Machine)",,"",2,"dropset",77.5,5,,,
"Upper I","29 Dec 2025, 12:23","29 Dec 2025, 13:28","","Lat Pulldown - Close Grip (Cable)",,"",0,"normal",97.5,7,,,
"Upper I","29 Dec 2025, 12:23","29 Dec 2025, 13:28","","Lat Pulldown - Close Grip (Cable)",,"",1,"failure",97.5,6,,,
"Upper I","29 Dec 2025, 12:23","29 Dec 2025, 13:28","","Hammer Chest Dip Weighted",,"",0,"normal",2.5,6,,,
"Upper I","29 Dec 2025, 12:23","29 Dec 2025, 13:28","","Hammer Chest Dip Weighted",,"",1,"failure",2.5,6,,,
"Upper I","29 Dec 2025, 12:23","29 Dec 2025, 13:28","","Chest Fly (Machine)",,"",0,"normal",131.25,7,,,
"Upper I","29 Dec 2025, 12:23","29 Dec 2025, 13:28","","Chest Fly (Machine)",,"",1,"failure",131.25,6,,,
"Upper I","29 Dec 2025, 12:23","29 Dec 2025, 13:28","","Shoulder Press (Dumbbell)",,"",0,"normal",37.5,8,,,
"Upper I","29 Dec 2025, 12:23","29 Dec 2025, 13:28","","Shoulder Press (Dumbbell)",,"",1,"failure",37.5,6,,,
"Upper I","29 Dec 2025, 12:23","29 Dec 2025, 13:28","","Bicep Curl (Machine)",,"",0,"normal",95,6,,,
"Upper I","29 Dec 2025, 12:23","29 Dec 2025, 13:28","","Bicep Curl (Machine)",,"",1,"failure",95,5,,,
"Upper I","29 Dec 2025, 12:23","29 Dec 2025, 13:28","","Triceps Extension (Cable)",,"",0,"normal",21.9,5,,,
"Upper I","29 Dec 2025, 12:23","29 Dec 2025, 13:28","","Triceps Extension (Cable)",,"",1,"failure",21.9,5,,,
"Upper III","27 Dec 2025, 13:17","27 Dec 2025, 14:22","TREINO DE ALMA 49 # The last dance","Iso-Lateral Low Row",,"Simultanea",0,"normal",70,7,,,
"Upper III","27 Dec 2025, 13:17","27 Dec 2025, 14:22","TREINO DE ALMA 49 # The last dance","Iso-Lateral Low Row",,"Simultanea",1,"failure",70,7,,,
"Upper III","27 Dec 2025, 13:17","27 Dec 2025, 14:22","TREINO DE ALMA 49 # The last dance","Unilateral Row (cable)",,"",0,"normal",56.25,7,,,
"Upper III","27 Dec 2025, 13:17","27 Dec 2025, 14:22","TREINO DE ALMA 49 # The last dance","Unilateral Row (cable)",,"",1,"failure",56.25,6,,,
"Upper III","27 Dec 2025, 13:17","27 Dec 2025, 14:22","TREINO DE ALMA 49 # The last dance","Unilateral Row (cable)",,"",2,"dropset",45,5,,,
"Upper III","27 Dec 2025, 13:17","27 Dec 2025, 14:22","TREINO DE ALMA 49 # The last dance","Incline Chest Press (Machine)",,"",0,"normal",72.5,7,,,
"Upper III","27 Dec 2025, 13:17","27 Dec 2025, 14:22","TREINO DE ALMA 49 # The last dance","Incline Chest Press (Machine)",,"",1,"failure",72.5,6,,,
"Upper III","27 Dec 2025, 13:17","27 Dec 2025, 14:22","TREINO DE ALMA 49 # The last dance","Chest Fly (Machine)",,"Abaixei carga pra manter range de reps",0,"normal",131.5,6,,,
"Upper III","27 Dec 2025, 13:17","27 Dec 2025, 14:22","TREINO DE ALMA 49 # The last dance","Chest Fly (Machine)",,"Abaixei carga pra manter range de reps",1,"failure",127.5,6,,,
"Upper III","27 Dec 2025, 13:17","27 Dec 2025, 14:22","TREINO DE ALMA 49 # The last dance","Bicep Curl (Cable)",,"",0,"failure",52,6,,,
"Upper III","27 Dec 2025, 13:17","27 Dec 2025, 14:22","TREINO DE ALMA 49 # The last dance","Triceps Extension (Cable)",,"",0,"failure",21.9,7,,,
"Upper III","27 Dec 2025, 13:17","27 Dec 2025, 14:22","TREINO DE ALMA 49 # The last dance","Lateral Raise (Cable)",,"",0,"normal",14.1,7,,,
"Upper III","27 Dec 2025, 13:17","27 Dec 2025, 14:22","TREINO DE ALMA 49 # The last dance","Lateral Raise (Cable)",,"",1,"failure",14.1,5,,,
"Upper II","25 Dec 2025, 12:02","25 Dec 2025, 12:53","Treino de Alma 48 # musclefit","Seated Cable Row - Bar Wide Grip",,"Musclefit",0,"normal",90,7,,,
"Upper II","25 Dec 2025, 12:02","25 Dec 2025, 12:53","Treino de Alma 48 # musclefit","Seated Cable Row - Bar Wide Grip",,"Musclefit",1,"normal",90,7,,,
"Upper II","25 Dec 2025, 12:02","25 Dec 2025, 12:53","Treino de Alma 48 # musclefit","Seated Cable Row - Bar Wide Grip",,"Musclefit",2,"failure",90,6,,,
"Upper II","25 Dec 2025, 12:02","25 Dec 2025, 12:53","Treino de Alma 48 # musclefit","Iso-Lateral Front Lat Pulldown",,"Musclefit",0,"normal",40,5,,,
"Upper II","25 Dec 2025, 12:02","25 Dec 2025, 12:53","Treino de Alma 48 # musclefit","Iso-Lateral Front Lat Pulldown",,"Musclefit",1,"normal",40,5,,,
"Upper II","25 Dec 2025, 12:02","25 Dec 2025, 12:53","Treino de Alma 48 # musclefit","Iso-Lateral Horizontal Bench Press",,"Musclefit",0,"normal",80,6,,,
"Upper II","25 Dec 2025, 12:02","25 Dec 2025, 12:53","Treino de Alma 48 # musclefit","Iso-Lateral Horizontal Bench Press",,"Musclefit",1,"failure",80,5,,,
"Upper II","25 Dec 2025, 12:02","25 Dec 2025, 12:53","Treino de Alma 48 # musclefit","Cable Fly Crossovers",,"",0,"normal",27.5,6,,,
"Upper II","25 Dec 2025, 12:02","25 Dec 2025, 12:53","Treino de Alma 48 # musclefit","Cable Fly Crossovers",,"",1,"failure",27.5,6,,,
"Upper II","25 Dec 2025, 12:02","25 Dec 2025, 12:53","Treino de Alma 48 # musclefit","Lateral Raise (Machine)",,"",0,"normal",81,5,,,
"Upper II","25 Dec 2025, 12:02","25 Dec 2025, 12:53","Treino de Alma 48 # musclefit","Lateral Raise (Machine)",,"",1,"failure",81,5,,,
"Upper II","25 Dec 2025, 12:02","25 Dec 2025, 12:53","Treino de Alma 48 # musclefit","Preacher Curl (Dumbbell)",,"",0,"normal",22.5,5,,,
"Upper II","25 Dec 2025, 12:02","25 Dec 2025, 12:53","Treino de Alma 48 # musclefit","Skullcrusher (Cable)",,"",0,"failure",63,5,,,
"Lower","23 Dec 2025, 11:58","23 Dec 2025, 13:03","Treino de Alma 47","Lying Leg Curl (Machine)",,"",0,"normal",78.75,7,,,
"Lower","23 Dec 2025, 11:58","23 Dec 2025, 13:03","Treino de Alma 47","Lying Leg Curl (Machine)",,"",1,"failure",78.75,7,,,
"Lower","23 Dec 2025, 11:58","23 Dec 2025, 13:03","Treino de Alma 47","Hip Adduction (Machine)",,"",0,"normal",90,5,,,
"Lower","23 Dec 2025, 11:58","23 Dec 2025, 13:03","Treino de Alma 47","Hip Adduction (Machine)",,"",1,"normal",86.25,6,,,
"Lower","23 Dec 2025, 11:58","23 Dec 2025, 13:03","Treino de Alma 47","Leg Press (Machine)",,"",0,"failure",280,7,,,
"Lower","23 Dec 2025, 11:58","23 Dec 2025, 13:03","Treino de Alma 47","Leg Press (Machine)",,"",1,"failure",260,7,,,
"Lower","23 Dec 2025, 11:58","23 Dec 2025, 13:03","Treino de Alma 47","Seated Leg Curl (Machine)",,"",0,"normal",108,7,,,
"Lower","23 Dec 2025, 11:58","23 Dec 2025, 13:03","Treino de Alma 47","Seated Leg Curl (Machine)",,"",1,"dropset",95,5,,,
"Lower","23 Dec 2025, 11:58","23 Dec 2025, 13:03","Treino de Alma 47","Leg Extension (Machine)",,"",0,"normal",101.25,9,,,
"Lower","23 Dec 2025, 11:58","23 Dec 2025, 13:03","Treino de Alma 47","Leg Extension (Machine)",,"",1,"failure",101.25,8,,,
"Lower","23 Dec 2025, 11:58","23 Dec 2025, 13:03","Treino de Alma 47","Hamme Hip Thrust (Machine)",,"",0,"normal",130,7,,,
"Lower","23 Dec 2025, 11:58","23 Dec 2025, 13:03","Treino de Alma 47","Hamme Hip Thrust (Machine)",,"",1,"normal",130,7,,,
"Lower","23 Dec 2025, 11:58","23 Dec 2025, 13:03","Treino de Alma 47","Calf Extension (Machine)",,"",0,"normal",131.25,8,,,
"Lower","23 Dec 2025, 11:58","23 Dec 2025, 13:03","Treino de Alma 47","Calf Extension (Machine)",,"",1,"failure",131.25,8,,,
"Upper I","22 Dec 2025, 19:41","22 Dec 2025, 21:04","TREINO DE ALMA 46","Seated Row (Machine)",,"",0,"normal",98.5,7,,,
"Upper I","22 Dec 2025, 19:41","22 Dec 2025, 21:04","TREINO DE ALMA 46","Seated Row (Machine)",,"",1,"failure",98.5,5,,,
"Upper I","22 Dec 2025, 19:41","22 Dec 2025, 21:04","TREINO DE ALMA 46","Seated Row (Machine)",,"",2,"dropset",75,5,,,
"Upper I","22 Dec 2025, 19:41","22 Dec 2025, 21:04","TREINO DE ALMA 46","Lat Pulldown - Close Grip (Cable)",,"",0,"normal",97.5,6,,,
"Upper I","22 Dec 2025, 19:41","22 Dec 2025, 21:04","TREINO DE ALMA 46","Lat Pulldown - Close Grip (Cable)",,"",1,"failure",93.75,7,,,
"Upper I","22 Dec 2025, 19:41","22 Dec 2025, 21:04","TREINO DE ALMA 46","Hammer Chest Dip Weighted",,"",0,"normal",2.5,6,,,
"Upper I","22 Dec 2025, 19:41","22 Dec 2025, 21:04","TREINO DE ALMA 46","Hammer Chest Dip Weighted",,"",1,"failure",2.5,6,,,
"Upper I","22 Dec 2025, 19:41","22 Dec 2025, 21:04","TREINO DE ALMA 46","Chest Fly (Machine)",,"",0,"normal",131.25,7,,,
"Upper I","22 Dec 2025, 19:41","22 Dec 2025, 21:04","TREINO DE ALMA 46","Chest Fly (Machine)",,"",1,"failure",131.25,6,,,
"Upper I","22 Dec 2025, 19:41","22 Dec 2025, 21:04","TREINO DE ALMA 46","Shoulder Press (Dumbbell)",,"",0,"normal",37.5,8,,,
"Upper I","22 Dec 2025, 19:41","22 Dec 2025, 21:04","TREINO DE ALMA 46","Shoulder Press (Dumbbell)",,"",1,"failure",37.5,6,,,
"Upper I","22 Dec 2025, 19:41","22 Dec 2025, 21:04","TREINO DE ALMA 46","Bicep Curl (Machine)",,"",0,"normal",92.5,7,,,
"Upper I","22 Dec 2025, 19:41","22 Dec 2025, 21:04","TREINO DE ALMA 46","Bicep Curl (Machine)",,"",1,"failure",92.5,6,,,
"Upper I","22 Dec 2025, 19:41","22 Dec 2025, 21:04","TREINO DE ALMA 46","Triceps Extension (Cable)",,"Mais ampltidude",0,"normal",21.9,7,,,
"Upper I","22 Dec 2025, 19:41","22 Dec 2025, 21:04","TREINO DE ALMA 46","Triceps Extension (Cable)",,"Mais ampltidude",1,"failure",21.9,7,,,
"Upper I","22 Dec 2025, 19:41","22 Dec 2025, 21:04","TREINO DE ALMA 46","Treadmill",,"",0,"normal",,,,1200,
"Upper III","20 Dec 2025, 13:46","20 Dec 2025, 15:28","Treino de Alma 45","Iso-Lateral Row (Machine)",,"",0,"normal",82.5,7,,,
"Upper III","20 Dec 2025, 13:46","20 Dec 2025, 15:28","Treino de Alma 45","Iso-Lateral Row (Machine)",,"",1,"failure",82.5,6,,,
"Upper III","20 Dec 2025, 13:46","20 Dec 2025, 15:28","Treino de Alma 45","Unilateral Row (cable)",,"",0,"normal",56.25,7,,,
"Upper III","20 Dec 2025, 13:46","20 Dec 2025, 15:28","Treino de Alma 45","Unilateral Row (cable)",,"",1,"failure",52.5,6,,,
"Upper III","20 Dec 2025, 13:46","20 Dec 2025, 15:28","Treino de Alma 45","Unilateral Row (cable)",,"",2,"dropset",45,5,,,
"Upper III","20 Dec 2025, 13:46","20 Dec 2025, 15:28","Treino de Alma 45","Incline Chest Press (Machine)",,"",0,"normal",72.5,6,,,
"Upper III","20 Dec 2025, 13:46","20 Dec 2025, 15:28","Treino de Alma 45","Incline Chest Press (Machine)",,"",1,"failure",72.5,5,,,
"Upper III","20 Dec 2025, 13:46","20 Dec 2025, 15:28","Treino de Alma 45","Chest Fly (Machine)",,"",0,"normal",131.5,7,,,
"Upper III","20 Dec 2025, 13:46","20 Dec 2025, 15:28","Treino de Alma 45","Chest Fly (Machine)",,"",1,"failure",131.5,5,,,
"Upper III","20 Dec 2025, 13:46","20 Dec 2025, 15:28","Treino de Alma 45","Back Extension (Weighted Hyperextension)",,"",0,"normal",30,7,,,
"Upper III","20 Dec 2025, 13:46","20 Dec 2025, 15:28","Treino de Alma 45","Back Extension (Weighted Hyperextension)",,"",1,"normal",30,7,,,
"Upper III","20 Dec 2025, 13:46","20 Dec 2025, 15:28","Treino de Alma 45","Bicep Curl (Cable)",,"",0,"failure",50,8,,,
"Upper III","20 Dec 2025, 13:46","20 Dec 2025, 15:28","Treino de Alma 45","Triceps Extension (Cable)",,"",0,"failure",22.5,8,,,
"Upper III","20 Dec 2025, 13:46","20 Dec 2025, 15:28","Treino de Alma 45","Lateral Raise (Cable)",,"",0,"normal",14.1,6,,,
"Upper III","20 Dec 2025, 13:46","20 Dec 2025, 15:28","Treino de Alma 45","Lateral Raise (Cable)",,"",1,"failure",5,5,,,
"Upper III","20 Dec 2025, 13:46","20 Dec 2025, 15:28","Treino de Alma 45","Crunch Hammer Machine",,"",0,"normal",57.5,7,,,
"Upper III","20 Dec 2025, 13:46","20 Dec 2025, 15:28","Treino de Alma 45","Crunch Hammer Machine",,"",1,"failure",57.5,7,,,
"Upper III","20 Dec 2025, 13:46","20 Dec 2025, 15:28","Treino de Alma 45","Treadmill",,"",0,"normal",,,,1200,
"Upper II","18 Dec 2025, 19:53","18 Dec 2025, 21:25","Treino de Alma 44","Seated Cable Row - Bar Wide Grip",,"",0,"normal",90,7,,,
"Upper II","18 Dec 2025, 19:53","18 Dec 2025, 21:25","Treino de Alma 44","Seated Cable Row - Bar Wide Grip",,"",1,"normal",90,7,,,
"Upper II","18 Dec 2025, 19:53","18 Dec 2025, 21:25","Treino de Alma 44","Seated Cable Row - Bar Wide Grip",,"",2,"failure",90,6,,,
"Upper II","18 Dec 2025, 19:53","18 Dec 2025, 21:25","Treino de Alma 44","Iso-Lateral Front Lat Pulldown",,"",0,"normal",40,7,,,
"Upper II","18 Dec 2025, 19:53","18 Dec 2025, 21:25","Treino de Alma 44","Iso-Lateral Front Lat Pulldown",,"",1,"failure",40,7,,,
"Upper II","18 Dec 2025, 19:53","18 Dec 2025, 21:25","Treino de Alma 44","Iso-Lateral Horizontal Bench Press",,"Com ajuda na 5 e 6 na segunda serie",0,"normal",80,6,,,
"Upper II","18 Dec 2025, 19:53","18 Dec 2025, 21:25","Treino de Alma 44","Iso-Lateral Horizontal Bench Press",,"Com ajuda na 5 e 6 na segunda serie",1,"failure",80,6,,,
"Upper II","18 Dec 2025, 19:53","18 Dec 2025, 21:25","Treino de Alma 44","Cable Fly Crossovers",,"",0,"normal",27.5,7,,,
"Upper II","18 Dec 2025, 19:53","18 Dec 2025, 21:25","Treino de Alma 44","Cable Fly Crossovers",,"",1,"failure",27.5,6,,,
"Upper II","18 Dec 2025, 19:53","18 Dec 2025, 21:25","Treino de Alma 44","Lateral Raise (Machine)",,"",0,"normal",81,6,,,
"Upper II","18 Dec 2025, 19:53","18 Dec 2025, 21:25","Treino de Alma 44","Lateral Raise (Machine)",,"",1,"failure",81,6,,,
"Upper II","18 Dec 2025, 19:53","18 Dec 2025, 21:25","Treino de Alma 44","Hammer Curl (Dumbbell)",,"",0,"normal",30,7,,,
"Upper II","18 Dec 2025, 19:53","18 Dec 2025, 21:25","Treino de Alma 44","Hammer Curl (Dumbbell)",,"",1,"failure",30,6,,,
"Upper II","18 Dec 2025, 19:53","18 Dec 2025, 21:25","Treino de Alma 44","Skullcrusher (Cable)",,"",0,"failure",63,7,,,
"Upper II","18 Dec 2025, 19:53","18 Dec 2025, 21:25","Treino de Alma 44","Crunch Hammer Machine",,"",0,"normal",57.5,7,,,
"Upper II","18 Dec 2025, 19:53","18 Dec 2025, 21:25","Treino de Alma 44","Crunch Hammer Machine",,"",1,"failure",57.5,7,,,
"Upper II","18 Dec 2025, 19:53","18 Dec 2025, 21:25","Treino de Alma 44","Treadmill",,"",0,"normal",,,,1200,
"Lower","16 Dec 2025, 19:47","16 Dec 2025, 21:14","Treino de ALMA 43","Hip Adduction (Machine)",,"",0,"normal",90,5,,,
"Lower","16 Dec 2025, 19:47","16 Dec 2025, 21:14","Treino de ALMA 43","Hip Adduction (Machine)",,"",1,"normal",86.25,6,,,
"Lower","16 Dec 2025, 19:47","16 Dec 2025, 21:14","Treino de ALMA 43","Hip Adduction (Machine)",,"",2,"failure",86.25,5,,,
"Lower","16 Dec 2025, 19:47","16 Dec 2025, 21:14","Treino de ALMA 43","Straight Leg Deadlift",,"100 com tecnica",0,"normal",100,6,,,
